cfb_season,college,ap_rank,nfl_players,pro_bowls,all_pros,player_list
2002,TCU,22,7,0,0,Adrian Madise|Anthony Alabi|Bo Schobel|Drew Coleman|Herb Taylor|Marvin White|Michael Toudouze
2002,Marshall,23,5,0,0,Ahmad Bradshaw|Byron Leftwich|Chris Crocker|Darius Watts|Steve Sciullo
2002,West Virginia,24,5,1,1,Adam Jones|Chris Henry|James Davis|Quincy Wilson|Rasheed Marshall
2002,Alabama,25,20,8,2,Anthony Bryant|Antwan Odom|Brodie Croyle|Charlie Peprah|Cornelius Wortham|DeMeco Ryans|Derrick Pope|Evan Mathis|Jarret Johnson|Justin Smiley|Kenneth Darby|Kenny King|Kindal Moorehead|Le'Ron McClain|Mark Anderson|Ramzee Robinson|Roman Harper|Triandos Luke|Waine Bacon|Wesley Britt
2003,USC,1,31,10,3,Chauncey Washington|Chilo Rachal|Darnell Bing|David Kirtman|Deuce Lutui|Dominique Byrd|Dwayne Jarrett|Fred Davis|Frostee Rucker|Jacob Rogers|Keary Colbert|Keith Rivers|Kenechi Udeze|LaJuan Ramsey|Lawrence Jackson|LenDale White|Lofa Tatupu|Matt Cassel|Matt Leinart|Mike Patterson|Mike Williams|Reggie Bush|Ryan Kalil|Sam Baker|Sedrick Ellis|Shaun Cody|Steve Smith|Terrell Thomas|Thomas Williams|Will Poole|Winston Justice
2003,LSU,2,27,13,2,Andrew Whitworth|Chad Lavalais|Chevis Jackson|Claude Wroten|Corey Webster|Craig Davis|Craig Steltz|Devery Henderson|Donnie Jones|Dwayne Bowe|Early Doucet|Glenn Dorsey|JaMarcus Russell|Jacob Hester|Joseph Addai|Keith Zinger|Kyle Williams|LaRon Landry|Marcus Spears|Marquise Hill|Matt Flynn|Matt Mauck|Melvin Oliver|Michael Clayton|Skyler Green|Stephen Peterman|Travis Daniels
2003,Oklahoma,3,24,14,5,Adrian Peterson|Allen Patrick|Antonio Perkins|Brandon Jones|Brodney Pool|C.J. Ah You|Chris Chester|Clint Ingram|Curtis Lofton|Davin Joseph|Derrick Strait|Donte Nicholson|J.D. Runnels|Jammal Brown|Lance Mitchell|Malcolm Kelly|Mark Bradley|Mark Clayton|Michael Hawkins|Reggie Smith|Teddy Lehman|Tommie Harris|Travis Wilson|Wes Sims
2003,Ohio State,4,33,11,2,A.J. Hawk|Adrien Clarke|Alex Stepanovich|Anthony Gonzalez|Anthony Schlegel|Antonio Pittman|Ashton Youboty|B.J. Sander|Ben Hartsock|Bobby Carpenter|Chris Gamble|Craig Krenzel|Darrion Scott|Donte Whitner|Drew Carter|Dustin Fox|Jay Richardson|Larry Grant|Michael Jenkins|Mike Nugent|Nate Salley|Nick Mangold|Quinn Pitcock|Rob Sims|Roy Hall|Santonio Holmes|Shane Olivea|Ted Ginn|Tim Anderson|Troy Smith|Vernon Gholston|Will Allen|Will Smith
2003,Miami,5,29,39,6,Antrel Rolle|Baraka Atkins|Brandon Meriweather|Calais Campbell|Chris Myers|D.J. Williams|Darrell McClover|Devin Hester|Eric Winston|Frank Gore|Greg Olsen|Jon Beason|Jonathan Vilma|Kareem Brown|Kellen Winslow|Kelly Jennings|Kenny Phillips|Kevin Everett|Leon Williams|Marcus Maxey|Orien Harris|Rashad Butler|Rocky McIntosh|Roscoe Parrish|Sean Taylor|Sinorice Moss|Tavares Gooden|Vernon Carey|Vince Wilfork
2003,Michigan,6,19,6,1,Adrian Arrington|Alan Branch|Braylon Edwards|Chad Henne|Chris Perry|David Baas|David Harris|Gabe Watson|Jake Long|Jason Avant|John Navarre|LaMarr Woodley|Leon Hall|Mario Manningham|Marlin Jackson|Mike Hart|Prescott Burgess|Steve Breaston|Tim Massaquoi
